Race,Year,Circuit,Driver,DriverNumber,Team,LapNumber,PositionBefore,PositionAfter,PositionChange,ValidLapsEvaluated,Compound,TyreLife,FreshTyre,TrackStatus,IsSafetyCarPit,IsYellowFlagPit,TotalRaceLaps,RaceProgress,Label,OvertakingDifficulty,PitLossSeconds,OvertakingDifficulty_Numeric,PositionGapToLeader,IsLeader,IsTopThree,IsMidfield,IsBackmarker,TyreLife_Category,Compound_Numeric,EarlyRace,MidRace,LateRace,LapsToEnd,EstimatedStintLength,InTypicalPitWindow
Bahrain Grand Prix,2022,Sakhir,LAT,6,Williams,15.0,18.0,18.8,0.8000000000000007,5,SOFT,1.0,True,1,False,False,57.0,0.2631578947368421,1.0,Easy,20.0,3,17.0,0,0,0,1,Fresh,1.0,1,0,0,42.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,LAT,6,Williams,32.0,18.0,20.0,2.0,4,SOFT,18.0,True,1,False,False,57.0,0.5614035087719298,1.0,Easy,20.0,3,17.0,0,0,0,1,Good,1.0,0,1,0,25.0,18.0,1
Bahrain Grand Prix,2022,Sakhir,LAT,6,Williams,33.0,20.0,19.8,-0.1999999999999993,5,MEDIUM,1.0,True,1,False,False,57.0,0.5789473684210527,1.0,Easy,20.0,3,19.0,0,0,0,1,Fresh,2.0,0,1,0,24.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,RUS,63,Mercedes,15.0,5.0,6.0,1.0,4,SOFT,18.0,False,21,False,True,57.0,0.2631578947368421,1.0,Easy,20.0,3,4.0,0,0,0,0,Good,1.0,1,0,0,42.0,18.0,1
Bahrain Grand Prix,2022,Sakhir,RUS,63,Mercedes,16.0,3.0,6.0,3.0,5,HARD,2.0,False,1,False,False,57.0,0.2807017543859649,0.0,Easy,20.0,3,2.0,0,1,0,0,Fresh,3.0,1,0,0,41.0,2.0,1
Bahrain Grand Prix,2022,Sakhir,RUS,63,Mercedes,33.0,5.0,6.0,1.0,4,HARD,19.0,False,1,False,False,57.0,0.5789473684210527,1.0,Easy,20.0,3,4.0,0,0,0,0,Good,3.0,0,1,0,24.0,19.0,1
Bahrain Grand Prix,2022,Sakhir,RUS,63,Mercedes,34.0,5.0,6.0,1.0,5,MEDIUM,1.0,True,1,False,False,57.0,0.5964912280701754,1.0,Easy,20.0,3,4.0,0,0,0,0,Fresh,2.0,0,1,0,23.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,BOT,77,Alfa Romeo,14.0,10.0,13.5,3.5,4,SOFT,17.0,False,12,False,True,57.0,0.24561403508771928,0.0,Easy,20.0,3,9.0,0,0,1,0,Good,1.0,1,0,0,43.0,17.0,0
Bahrain Grand Prix,2022,Sakhir,BOT,77,Alfa Romeo,15.0,11.0,13.2,2.1999999999999993,5,MEDIUM,1.0,True,1,False,False,57.0,0.2631578947368421,0.0,Easy,20.0,3,10.0,0,0,1,0,Fresh,2.0,1,0,0,42.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,BOT,77,Alfa Romeo,36.0,7.0,12.0,5.0,4,MEDIUM,22.0,True,1,False,False,57.0,0.631578947368421,0.0,Easy,20.0,3,6.0,0,0,1,0,Good,2.0,0,1,0,21.0,22.0,1
Bahrain Grand Prix,2022,Sakhir,BOT,77,Alfa Romeo,37.0,7.0,11.8,4.800000000000001,5,MEDIUM,1.0,True,1,False,False,57.0,0.6491228070175439,0.0,Easy,20.0,3,6.0,0,0,1,0,Fresh,2.0,0,1,0,20.0,1.0,1
